PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Label
640.8595,2627.5872,1971.3491,407.9639,2322.0854,888.31696,612.2069,-584.7949,0
-1310.702,3098.8284,-1012.55896,-2353.967,25.206434,-1325.9341,1706.3741,1864.9125,0
130.61319,3271.6296,1150.4553,1208.3959,-249.25162,1008.17487,2175.9949,47.694138,0
-860.0192,2344.0698,-371.09927,-2056.9355,435.86197,-315.72623,547.5991,164.51524,0
1698.2632,-1041.4535,-1923.9977,-1040.6061,-399.33926,-52.891247,-1188.6731,1412.1959,0
700.5353,1677.3333,703.3311,1575.219,-1005.1949,856.2557,883.4207,265.32306,0
754.06213,-1912.9027,2726.122,-382.5005,1013.954,852.05096,597.23047,68.11609,0
-568.7927,-3111.9553,-753.8297,-336.16913,1669.7269,27.05198,-1261.7053,993.27704,0
1321.1182,-2393.1072,-1198.6399,-791.6988,417.704,1305.7959,-142.99956,64.94526,0
822.16034,1362.1129,1091.3137,-906.0144,2112.7195,1024.9102,589.8453,-353.19427,0
-1831.1399,1351.2366,808.02435,-1742.5758,418.4307,31.27932,-493.393,75.73764,0
-218.20732,679.24396,3041.5076,-229.2021,2956.3376,195.07874,-970.2882,829.4235,0
-631.652,-943.81805,-1943.0588,-343.6976,-61.131104,1589.417,316.9369,693.37744,0
332.81992,1989.3247,968.5368,-2010.9381,-641.85895,1021.0485,948.90283,-1705.8496,0
2896.4895,-748.87537,-3283.4155,1762.9594,-1981.6738,716.31494,734.05884,746.0162,0
-2517.9758,379.21384,1729.9595,-979.1241,1986.318,-1038.4147,-2427.6406,862.1228,0
178.07509,2880.9985,2024.7573,-231.24525,1508.772,306.3389,532.2036,365.44485,0
601.2149,2328.8938,-2996.7927,2765.5154,-1802.3562,-283.16983,842.41125,967.6849,0
1136.4951,1822.4609,2366.7764,1130.632,318.928,1142.5889,65.554596,132.16805,0
-2715.9736,380.46982,1505.093,681.113,-307.11093,-106.90142,239.546,598.7064,0
-3091.2815,1943.3531,115.46566,-1611.5814,-1294.8684,750.5505,-243.02318,212.81316,0
2319.1226,-905.6086,1646.379,2903.1514,-571.1161,1859.0508,909.1278,2252.8503,0
2331.795,-1317.1456,-1253.3818,90.687584,867.71094,2235.0679,-941.6962,-38.481625,0
-2161.0842,-958.8187,15.115079,1773.1512,-630.05194,-1422.2906,-1483.1277,890.1665,0
3095.3474,864.5009,-2588.154,9.509536,38.901833,-146.11288,211.05309,-246.30815,0
